name,country_code,subdivision,unlocode,location,asciiname,coordinates,latitude,longitude,timezone,modification date
Monroe,US,,USINQ,INQ,Monroe,3321N 09710W,32.5093,-92.1193,America/Chicago,2019-09-19
Monroe,US,,USM4X,M4X,Monroe,4415N 07203W,32.5093,-92.1193,America/Chicago,2019-09-19
Monroe,US,,USMOE,MOE,Monroe,,32.5093,-92.1193,America/Chicago,2019-09-19
Monroe,US,,USMOM,MOM,Monroe,4118N 07312W,32.5093,-92.1193,America/Chicago,2019-09-19
Monroe,US,,USMWI,MWI,Monroe,,32.5093,-92.1193,America/Chicago,2019-09-19
Monroe,US,,USNRO,NRO,Monroe,,32.5093,-92.1193,America/Chicago,2019-09-19
Monroe,US,,USNRQ,NRQ,Monroe,4131N 09306W,32.5093,-92.1193,America/Chicago,2019-09-19
Monroe,US,,USNRX,NRX,Monroe,3730N 07908W,32.5093,-92.1193,America/Chicago,2019-09-19
Monroe,US,,USOVN,OVN,Monroe,4419N 12318W,32.5093,-92.1193,America/Chicago,2019-09-19
Monroe,US,,USOWH,OWH,Monroe,4049N 07427W,32.5093,-92.1193,America/Chicago,2019-09-19
Monroe,US,,USQMX,QMX,Monroe,4045N 07438W,32.5093,-92.1193,America/Chicago,2019-09-19
Monroe,US,,USVMO,VMO,Monroe,4119N 07411W,32.5093,-92.1193,America/Chicago,2019-09-19
Monroe,US,,USXZ9,XZ9,Monroe,3626N 08514W,32.5093,-92.1193,America/Chicago,2019-09-19
Monroeville,US,,US9MO,9MO,Monroeville,4058N 08452W,40.4212,-79.7881,America/New_York,2019-09-19
Monroeville,US,,USMVC,MVC,Monroeville,,40.4212,-79.7881,America/New_York,2019-09-19
Monroeville,US,,USO8M,O8M,Monroeville,4114N 08241W,40.4212,-79.7881,America/New_York,2019-09-19
Monroeville,US,,USQXO,QXO,Monroeville,3937N 07509W,40.4212,-79.7881,America/New_York,2019-09-19
Monrovia,LR,,LRMLW,MLW,Monrovia,0618N 01048W,6.3005,-10.7969,Africa/Monrovia,2019-09-05
Monrovia,US,,USON5,ON5,Monrovia,3934N 08628W,34.1481,-117.9989,America/Los_Angeles,2017-03-09
Monrovia,US,,USZMR,ZMR,Monrovia,3922N 07716W,34.1481,-117.9989,America/Los_Angeles,2017-03-09
Mons,BE,,BEMQS,MQS,Mons,5027N 00356E,50.4541,3.9523,Europe/Brussels,2019-09-05
Monselice,IT,,ITMOE,MOE,Monselice,,45.2390,11.7498,Europe/Rome,2016-04-25
Monserrato,IT,,ITONS,ONS,Monserrato,3915N 00908E,39.2564,9.1444,Europe/Rome,2015-08-01
Mont-Royal,CA,,CAMRL,MRL,Mont-Royal,4531N 07338W,45.5168,-73.6492,America/Toronto,2016-06-22
Mont-Saint-Aignan,FR,,FRMSK,MSK,Mont-Saint-Aignan,4927N 00104E,49.4631,1.0936,Europe/Paris,2016-02-18
Mont-Saint-Hilaire,CA,,CAMSH,MSH,Mont-Saint-Hilaire,,45.5652,-73.1868,America/Toronto,2017-01-31
Mont-de-Marsan,FR,,FRMDM,MDM,Mont-de-Marsan,4353N 00030W,43.8902,-0.4971,Europe/Paris,2016-02-18
Montagu,ZA,,ZAMON,MON,Montagu,3347S 02006E,-33.7866,20.1211,Africa/Johannesburg,2017-12-13
Montalvo,EC,,ECMTO,MTO,Montalvo,0148S 07920W,-1.7901,-79.2876,America/Guayaquil,2018-07-04
Montana,BG,,BGOZA,OZA,Montana,,43.4125,23.2250,Europe/Sofia,2016-02-07
Montargis,FR,,FRMOS,MOS,Montargis,4800N 00244E,47.9970,2.7326,Europe/Paris,2019-04-10
Montauban,FR,,FRMOT,MOT,Montauban,4401N 00121E,44.0176,1.3542,Europe/Paris,2020-05-07
Montbrison,FR,,FRMBS,MBS,Montbrison,4427N 00502E,45.6075,4.0652,Europe/Paris,2019-04-10
Montbrison,FR,,FRMTB,MTB,Montbrison,4536N 00404E,45.6075,4.0652,Europe/Paris,2019-04-10
