name,country_code,subdivision,unlocode,location,asciiname,coordinates,latitude,longitude,timezone,modification date
Suva,FJ,12,FJSUV,SUV,Nausori International Airport,1808S 17827E,-18.0433,178.5592,Pacific/Fiji,2011-03-28
Savusavu,FJ,,FJSVU,SVU,Savusavu Airport,,-16.8032,179.3410,Pacific/Fiji,2013-10-27
Turtle Island,FJ,,FJTTL,TTL,Nanuya Levu Island,,-16.9601,177.3758,Pacific/Fiji,2013-10-27
Taveuni,FJ,,FJTVU,TVU,Taveuni Island,,-16.8374,-179.9554,Pacific/Fiji,2013-10-27
Vatukoula,FJ,,FJVAU,VAU,Vatukoula,,-17.5014,177.8498,Pacific/Fiji,2014-06-10
Vanua Mbalavu,FJ,E,FJVBV,VBV,Vanuabalavu Island,1714S 17857W,-17.2333,-178.9500,Pacific/Fiji,2013-10-27
Vatulele,FJ,,FJVTF,VTF,Vatulele Island,,-18.5438,177.6286,Pacific/Fiji,2019-04-27
Yasawa Island,FJ,,FJYAS,YAS,Yasawa Island,,-16.7936,177.5069,Pacific/Fiji,2019-04-27
Mount Pleasant,FK,,FKMPN,MPN,Mount Pleasant Airport,,-51.8228,-58.4472,Atlantic/Stanley,2015-04-24
Port Stanley,FK,,FKPSY,PSY,Stanley,,-51.6938,-57.8570,Atlantic/Stanley,2019-09-05
Kosrae (ex Kusaie),FM,,FMKSA,KSA,Kosrae Island,,5.3250,162.9820,Pacific/Kosrae,2016-02-06
Pohnpei (ex Ponape),FM,,FMPNI,PNI,Pohnpei Island,,6.8913,158.2299,Pacific/Pohnpei,2017-08-25
Chuuk (ex Truk),FM,,FMTKK,TKK,Weno,,7.4465,151.8414,Pacific/Chuuk,2016-09-24
Ulithi,FM,,FMULI,ULI,Ulithi Airport,,10.0199,139.7893,Pacific/Chuuk,2017-09-15
Yap,FM,,FMYAP,YAP,Yap Island,,9.5370,138.0970,Pacific/Chuuk,2017-01-03
Færøø Islands-Vagar Apt,FO,,FOFAE,FAE,Vagar Airport,,62.0656,-7.2805,Atlantic/Faroe,2018-03-01
Arçay,FR,86,FRACA,ACA,Grand Est,4658N 00001E,48.6982,5.8667,Europe/Paris,2018-03-17
Agen,FR,47,FRAGF,AGF,Agen,4412N 00037E,44.2020,0.6206,Europe/Paris,2020-01-08
L'Alpe-d'Huez,FR,38,FRAHZ,AHZ,L'Alpe-d'Huez,4506N 00604E,45.0928,6.0699,Europe/Paris,2020-01-08
Alixan,FR,26,FRAIX,AIX,Aix les Bains Bus Station,4458N 00502E,45.6888,5.9094,Europe/Paris,2019-01-18
