name,country_code,subdivision,unlocode,location,asciiname,coordinates,latitude,longitude,timezone,modification date
Bua,FJ,,FJBVF,BVF,Bua Province,,-16.8333,178.7500,Pacific/Fiji,2019-04-27
Blue Lagoon,FJ,,FJBXL,BXL,Nanuya Lailai Island,,-16.9471,177.3747,Pacific/Fiji,2013-10-27
Castaway,FJ,,FJCST,CST,Qalito Island,,-17.7334,177.1348,Pacific/Fiji,2019-04-27
Cicia,FJ,,FJICI,ICI,Cicia Island,,-17.7454,-179.3109,Pacific/Fiji,2013-06-16
Wakaya Island,FJ,,FJKAY,KAY,Wakaya Island,,-17.6100,178.9993,Pacific/Fiji,2019-04-27
Kandavu,FJ,,FJKDV,KDV,Vunisea,,-19.0478,178.1629,Pacific/Fiji,2013-10-05
Korolevu,FJ,,FJKVU,KVU,Korolevu Bay,,-18.2170,177.7254,Pacific/Fiji,2013-10-27
Koro Island,FJ,,FJKXF,KXF,Koro Island,,-17.3154,179.3992,Pacific/Fiji,2013-10-27
Labasa,FJ,07,FJLBS,LBS,Labasa,1625S 17923E,-16.4332,179.3645,Pacific/Fiji,2016-04-17
Lakeba,FJ,,FJLKB,LKB,Lakeba Island,,-18.2113,-178.7986,Pacific/Fiji,2019-04-27
Laucala Is,FJ,,FJLUC,LUC,Laucala Island,,-16.7582,-179.6831,Pacific/Fiji,2019-04-27
Moala,FJ,,FJMFJ,MFJ,Moala Island,,-18.5856,179.8803,Pacific/Fiji,2013-10-27
Mana Island,FJ,,FJMNF,MNF,Mana Island,,-17.6732,177.1077,Pacific/Fiji,2013-10-27
Nadi,FJ,,FJNAN,NAN,Nadi,,-17.8031,177.4162,Pacific/Fiji,2019-04-27
Ngau Island,FJ,,FJNGI,NGI,Ngau Island,,-18.0274,179.3115,Pacific/Fiji,2013-10-22
Natadola,FJ,,FJNTA,NTA,Natadola Harbour,,-18.1079,177.3207,Pacific/Fiji,2013-10-27
Ono-i-Lau,FJ,E,FJONU,ONU,Ono-i-Lau Island,2040S 17843W,-20.6492,-178.7422,Pacific/Fiji,2013-10-27
Pacific Harbor,FJ,,FJPHR,PHR,Pacific Harbour Airport,,-18.2563,178.0498,Pacific/Fiji,2013-10-27
Malolo Lailai Island,FJ,W,FJPTF,PTF,Malolo Lailai Island,1747S 17712E,-17.7782,177.1933,Pacific/Fiji,2013-06-09
Rabi,FJ,,FJRBI,RBI,Rabi Island,,-16.5009,-179.9667,Pacific/Fiji,2015-08-13
Rotuma,FJ,,FJRTA,RTA,Rotuma,,-12.4827,177.0706,Pacific/Fiji,2012-02-26
