name,country_code,subdivision,unlocode,location,asciiname,coordinates,latitude,longitude,timezone,modification date
Aarau,CH,AG,CHAAR,AAR,Aarau,,47.3925,8.0442,Europe/Zurich,2020-06-29
Aberdeen,US,WA,USGHR,GHR,Aberdeen,4658N 12349W,46.9754,-123.8157,America/Los_Angeles,2017-03-09
Abington,US,MA,USUUM,UUM,Abington,4207N 07056W,42.1048,-70.9453,America/New_York,2017-05-23
Abington,US,PA,USAP3,AP3,Abington,4007N 07507W,40.1207,-75.1179,America/New_York,2020-08-28
Acton,US,MA,USUAH,UAH,Acton,,42.4851,-71.4328,America/New_York,2017-05-23
Acworth,US,GA,USAWR,AWR,Acworth,,34.0663,-84.6784,America/New_York,2017-03-09
Addison,US,IL,USUAP,UAP,Addison,,41.9317,-87.9890,America/Chicago,2017-05-23
Addison,US,TX,USDDX,DDX,Addison,3258N 09650W,32.9618,-96.8292,America/Chicago,2017-03-09
Adelanto,US,CA,USADU,ADU,Adelanto,3434N 11724W,34.5828,-117.4092,America/Los_Angeles,2017-03-09
Adelphi,US,MD,USA9D,A9D,Adelphi,3859N 07658W,39.0032,-76.9719,America/New_York,2011-05-14
Adliswil,CH,ZH,CHADW,ADW,Adliswil,4719N 00831E,47.3100,8.5246,Europe/Zurich,2013-03-28
Affton,US,MO,USAFF,AFF,Affton,3833N 09019W,38.5506,-90.3332,America/Chicago,2017-05-23
Agawam,US,MA,USXBL,XBL,Agawam,,42.0695,-72.6148,America/New_York,2017-05-23
Agoura,US,CA,USUAX,UAX,Agoura,,34.1431,-118.7379,America/Los_Angeles,2006-01-15
Agoura Hills,US,CA,USAGH,AGH,Agoura Hills,3409N 11847W,34.1364,-118.7745,America/Los_Angeles,2017-03-09
Akhisar,TR,45,TRAHS,AHS,Akhisar,,38.9185,27.8401,Europe/Istanbul,2019-09-05
Akçaabat,TR,61,TRAKB,AKB,Akcaabat,4101N 03934E,41.0212,39.5715,Europe/Istanbul,2020-06-10
Al Muharraq,BH,15,BHGBQ,GBQ,Al Muharraq,2615N 05036E,26.2572,50.6119,Asia/Bahrain,2019-06-17
Alabaster,US,AL,USLBA,LBA,Alabaster,3314N 08648W,33.2443,-86.8164,America/Chicago,2017-03-09
Alameda,US,CA,USNGZ,NGZ,Alameda,,37.7710,-122.2609,America/Los_Angeles,2020-01-14
Alamo,US,TX,USAMO,AMO,Alamo,,26.1837,-98.1231,America/Chicago,2017-03-09
Alanya,TR,07,TRALA,ALA,Alanya,3632N 03159E,36.5438,31.9998,Europe/Istanbul,2018-08-11
Albany,US,CA,USALA,ALA,Albany,,37.8869,-122.2977,America/Los_Angeles,2017-03-09
Albany,US,OR,USAYK,AYK,Albany,4438N 12306W,44.6365,-123.1059,America/Los_Angeles,2017-03-09
Albemarle,US,NC,USUAD,UAD,Albemarle,,35.3501,-80.2001,America/New_York,2017-05-23
Albertville,US,AL,USABV,ABV,Albertville,,34.2678,-86.2088,America/Chicago,2017-04-08
Aldine,US,TX,USAD8,AD8,Aldine,2955N 09522W,29.9324,-95.3802,America/Chicago,2011-05-14
Alexandria,US,VA,USAXR,AXR,Alexandria,3848N 07702W,38.8048,-77.0469,America/New_York,2017-03-09
Algonquin,US,IL,USAGQ,AGQ,Algonquin,4210N 08818W,42.1656,-88.2943,America/Chicago,2017-05-23
Alhambra,US,CA,USALH,ALH,Alhambra,,34.0953,-118.1270,America/Los_Angeles,2017-03-09
Alief,US,TX,US3AF,3AF,Alief,2942N 09535W,29.7111,-95.5963,America/Chicago,2017-12-06
Aliso Viejo,US,CA,USAVJ,AVJ,Aliso Viejo,3336N 11744W,33.5650,-117.7271,America/Los_Angeles,2017-03-09
Allen,US,TX,USXAL,XAL,Allen,3306N 09640W,33.1032,-96.6706,America/Chicago,2017-03-09
Allen Park,US,MI,USAPK,APK,Allen Park,,42.2575,-83.2110,America/Detroit,2017-05-23
Allendale,US,MI,USGKE,GKE,Allendale,4258N 08557W,42.9723,-85.9536,America/Detroit,2017-05-23
Alliance,US,OH,USAIH,AIH,Alliance,,40.9153,-81.1059,America/New_York,2017-05-23
Allison Park,US,PA,USALK,ALK,Allison Park,,40.5595,-79.9587,America/New_York,2017-05-23
Allschwil,CH,BL,CHASW,ASW,Allschwil,4732N 00732E,47.5507,7.5360,Europe/Zurich,2019-09-11
Aloha,US,OR,USAHA,AHA,Aloha,,45.4943,-122.8671,America/Los_Angeles,2011-05-14
Alor Gajah,MY,04,MYAOG,AOG,Alor Gajah,0222N 10212E,2.3804,102.2089,Asia/Kuala_Lumpur,2012-01-17
Alpharetta,US,GA,USAAI,AAI,Alpharetta,3404N 08417W,34.0754,-84.2941,America/New_York,2017-03-09
Alsip,US,IL,USUBC,UBC,Alsip,,41.6689,-87.7387,America/Chicago,2017-05-23
Altadena,US,CA,USAZA,AZA,Altadena,,34.1897,-118.1312,America/Los_Angeles,2011-05-14
Altamonte Springs,US,FL,USASP,ASP,Altamonte Springs,,28.6611,-81.3656,America/New_York,2017-03-09
Altoona,US,IA,USNOF,NOF,Altoona,4138N 09328W,41.6442,-93.4647,America/Chicago,2017-05-23
Alum Rock,US,CA,USAZT,AZT,Alum Rock,,37.3661,-121.8272,America/Los_Angeles,2018-04-18
Alvin,US,TX,USAZC,AZC,Alvin,,29.4239,-95.2441,America/Chicago,2017-03-09
American Fork,US,UT,USZAF,ZAF,American Fork,4023N 11148W,40.3769,-111.7958,America/Denver,2017-03-09
Americus,US,GA,USAMU,AMU,Americus,,32.0724,-84.2327,America/New_York,2017-03-09
Amesbury,US,MA,USAMX,AMX,Amesbury,4250N 07056W,42.8584,-70.9300,America/New_York,2017-05-23
Amherst,US,MA,USYAM,YAM,Amherst,4223N 07231W,42.3672,-72.5185,America/New_York,2017-05-23
Amherst,US,NY,USAMH,AMH,Amherst,,42.9784,-78.7998,America/New_York,2017-05-23
Andover,US,MN,USAD7,AD7,Andover,4514N 09317W,45.2333,-93.2913,America/Chicago,2017-05-23
Ankeny,US,IA,USAKE,AKE,Ankeny,,41.7297,-93.6058,America/Chicago,2017-05-23
