name,country_code,subdivision,unlocode,location,asciiname,coordinates,latitude,longitude,timezone,modification date
Abiquiu,US,NM,USAQ2,AQ2,Abiquiu,3612N 10619W,36.2072,-106.3186,America/Denver,2011-05-14
Abita Springs,US,LA,USTPG,TPG,Abita Springs,3028N 09002W,30.4786,-90.0401,America/Chicago,2017-03-09
Aboa,AQ,,AQABA,ABA,Aboa,7303S 01325W,-73.0500,-13.4167,Antarctica/McMurdo,2008-01-02
Abrams,US,WI,USQYA,QYA,Abrams,4446N 08803W,44.7792,-88.0598,America/Chicago,2017-05-23
Absecon,US,NJ,USACX,ACX,Absecon,3925N 07429W,39.4284,-74.4957,America/New_York,2017-05-23
Abtwil,CH,SG,CHABT,ABT,Abtwil,4725N 00919E,47.4237,9.3211,Europe/Zurich,2013-06-14
Acajutla,SV,,SVAQJ,AQJ,Acajutla,,13.5667,-89.8333,America/El_Salvador,2006-10-29
Acampo,US,CA,USAA4,AA4,Acampo,3810N 12117W,38.1746,-121.2786,America/Los_Angeles,2011-05-14
Acarigua,VE,,VEAGV,AGV,Acarigua,,9.5534,-69.2375,America/Caracas,2007-01-03
Accident,US,MD,USAJT,AJT,Accident,3938N 07919W,39.6287,-79.3198,America/New_York,2017-03-09
Accokeek,US,MD,USJOK,JOK,Accokeek,3840N 07701W,38.6676,-77.0283,America/New_York,2011-05-14
Accomac,US,VA,USAQC,AQC,Accomac,3743N 07539W,37.7196,-75.6655,America/New_York,2017-03-09
Accord,US,MA,USA8C,A8C,Accord,4210N 07053W,42.1746,-70.8837,America/New_York,2017-05-23
Accord,US,NY,USAC9,AC9,Accord,4147N 07413W,41.7856,-74.2290,America/New_York,2017-05-23
Acibadem,TR,34,TRACI,ACI,Acibadem,,41.0048,29.0448,Europe/Istanbul,2011-01-04
Ackerman,US,MS,USUAG,UAG,Ackerman,3318N 08910W,33.3101,-89.1728,America/Chicago,2017-03-09
Ackley,US,IA,USAKY,AKY,Ackley,,42.5541,-93.0533,America/Chicago,2017-05-23
Aclens,CH,VD,CHACL,ACL,Aclens,4634N 00631E,46.5682,6.5109,Europe/Zurich,2017-07-26
Acme,US,MI,USDMF,DMF,Acme,4446N 08530W,44.7719,-85.5015,America/Detroit,2019-10-16
Acme,US,WA,USQZA,QZA,Acme,4843N 12212W,48.7171,-122.2052,America/Los_Angeles,2011-05-14
Acquarossa,CH,TI,CHACQ,ACQ,Acquarossa,4627N 00857E,46.4547,8.9426,Europe/Zurich,2017-09-13
Acquaviva,SM,01,SMZAC,ZAC,Acquaviva,4357N 01225E,43.9459,12.4185,Europe/San_Marino,2019-12-09
Acra,US,NY,USQCA,QCA,Acra,4218N 07403W,42.3109,-74.0554,America/New_York,2017-05-23
Acton,US,CA,USAXJ,AXJ,Acton,3428N 11811W,34.4700,-118.1967,America/Los_Angeles,2014-10-08
Acton,US,IN,UST5C,T5C,Acton,3939N 08558W,39.6556,-85.9669,America/Indiana/Indianapolis,2017-05-23
Acton,US,MA,USUAH,UAH,Acton,,42.4851,-71.4328,America/New_York,2017-05-23
Acton,US,ME,US8ON,8ON,Acton,4332N 07054W,43.5343,-70.9098,America/New_York,2017-05-23
Acton,US,TX,USTZO,TZO,Acton,3226N 09741W,32.4468,-97.6903,America/Chicago,2006-01-15
Acushnet,US,MA,USKUS,KUS,Acushnet,4140N 07054W,41.6807,-70.9078,America/New_York,2017-05-23
Acworth,US,GA,USAWR,AWR,Acworth,,34.0663,-84.6784,America/New_York,2017-03-09
Acworth,US,NH,US6WT,6WT,Acworth,4313N 07217W,43.2178,-72.2920,America/New_York,2017-05-23
Ada,US,MI,USADZ,ADZ,Ada,,42.9542,-85.4889,America/Detroit,2017-05-23
Ada,US,MN,USDD2,DD2,Ada,4718N 09631W,47.2997,-96.5153,America/Chicago,2017-05-23
Ada,US,OH,USAJJ,AJJ,Ada,4046N 08349W,40.7695,-83.8227,America/New_York,2017-05-23
Adair,US,IA,USA59,A59,Adair,4130N 09438W,41.4997,-94.6391,America/Chicago,2017-05-23
Adair,US,OK,US2AR,2AR,Adair,3626N 09516W,36.4368,-95.2714,America/Chicago,2017-03-09
Adairsville,US,GA,USADV,ADV,Adairsville,,34.3687,-84.9341,America/New_York,2017-03-09
Adairville,US,KY,USAD3,AD3,Adairville,3640N 08651W,36.6675,-86.8519,America/Chicago,2017-03-09
Adak,US,AK,USAXK,AXK,Adak,5152N 17639E,51.8740,-176.6340,America/Adak,2017-11-13
Adams,US,MA,USUAN,UAN,Adams,,42.6243,-73.1176,America/New_York,2017-05-23
Adams,US,OR,USUAT,UAT,Adams,,45.7674,-118.5625,America/Los_Angeles,2017-03-09
Adams,US,TN,USAKM,AKM,Adams,3635N 08704W,36.5823,-87.0656,America/Chicago,2017-03-09
Adams,US,WI,USAZM,AZM,Adams,4357N 08948W,43.9561,-89.8182,America/Chicago,2017-05-23
Adams Center,US,NY,USADH,ADH,Adams Center,4349N 07601W,43.8601,-76.0055,America/New_York,2017-05-23
Adams City,US,CO,USYP2,YP2,Adams City,3949N 10455W,39.8267,-104.9289,America/Denver,2007-02-14
Adams Run,US,SC,USUAJ,UAJ,Adams Run,3243N 08021W,32.7207,-80.3482,America/New_York,2006-01-15
Adamston,US,WV,USDST,DST,Adamston,3917N 08021W,39.2906,-80.3579,America/New_York,2006-01-15
Adamstown,US,MD,USAN6,AN6,Adamstown,3918N 07728W,39.3109,-77.4747,America/New_York,2011-05-14
Adamstown,US,PA,USAEJ,AEJ,Adamstown,4014N 07604W,40.2412,-76.0563,America/New_York,2017-05-23
Adamsville,US,AL,US6LA,6LA,Adamsville,3336N 08657W,33.6009,-86.9561,America/Chicago,2017-03-09
Adamsville,US,TN,USUAM,UAM,Adamsville,,35.2359,-88.3906,America/Chicago,2017-03-09
Addis,US,LA,USADD,ADD,Addis,,30.3538,-91.2654,America/Chicago,2017-03-09
Addison,US,AL,USADS,ADS,Addison,,34.2023,-87.1814,America/Chicago,2017-03-09
Addison,US,IL,USUAP,UAP,Addison,,41.9317,-87.9890,America/Chicago,2017-05-23
Addison,US,ME,USIAB,IAB,Addison,4437N 06745W,44.6184,-67.7442,America/New_York,2017-05-23
Addison,US,MI,USYAI,YAI,Addison,4159N 08421W,41.9864,-84.3472,America/Detroit,2017-05-23
Addison,US,NY,USXDS,XDS,Addison,4206N 07714W,42.1028,-77.2336,America/New_York,2017-05-23
Addison,US,OH,USADX,ADX,Addison,,38.8862,-82.1463,America/New_York,2017-05-23
Addison,US,PA,USQDS,QDS,Addison,3944N 07920W,39.7473,-79.3392,America/New_York,2017-05-23
Addison,US,TX,USDDX,DDX,Addison,3258N 09650W,32.9618,-96.8292,America/Chicago,2017-03-09
Addyston,US,OH,USUAS,UAS,Addyston,,39.1367,-84.7091,America/New_York,2017-05-23
Adel,US,GA,USADE,ADE,Adel,,31.1373,-83.4241,America/New_York,2017-03-09
Adel,US,IA,USZAE,ZAE,Adel,4137N 09401W,41.6144,-94.0174,America/Chicago,2017-05-23
Adelanto,US,CA,USADU,ADU,Adelanto,3434N 11724W,34.5828,-117.4092,America/Los_Angeles,2017-03-09
Adelboden,CH,BE,CHADL,ADL,Adelboden,4629N 00734E,46.4914,7.5603,Europe/Zurich,2017-01-13
Adell,US,WI,USAJD,AJD,Adell,4337N 08757W,43.6192,-87.9520,America/Chicago,2017-05-23
Adelphi,US,MD,USA9D,A9D,Adelphi,3859N 07658W,39.0032,-76.9719,America/New_York,2011-05-14
Adelphia,US,NJ,USAHP,AHP,Adelphia,4013N 07415W,40.2182,-74.2563,America/New_York,2017-05-23
Adger,US,AL,USAGE,AGE,Adger,,33.3771,-87.0936,America/Chicago,2006-01-15
Adiyaman,TR,02,TRADI,ADI,Adiyaman,,37.7314,38.4689,Europe/Istanbul,2016-11-23
Adkins,US,TX,USRZU,RZU,Adkins,2923N 09814W,29.3930,-98.2372,America/Chicago,2006-01-15
Adligenswil,CH,LU,CHADI,ADI,Adligenswil,4704N 00822E,47.0652,8.3612,Europe/Zurich,2014-04-04
Adliswil,CH,ZH,CHADW,ADW,Adliswil,4719N 00831E,47.3100,8.5246,Europe/Zurich,2013-03-28
Adrian,US,MN,USAI4,AI4,Adrian,4338N 09555W,43.6366,-95.9342,America/Chicago,2017-05-23
Adrian,US,OH,USAQA,AQA,Adrian,4105N 08319W,41.0014,-83.3230,America/New_York,2017-05-23
Adrian,US,OR,USUAO,UAO,Adrian,,43.7407,-117.0718,America/Boise,2017-03-09
Adrian,US,PA,USAD9,AD9,Adrian,4053N 07932W,40.8848,-79.5378,America/New_York,2017-05-23
Adrian,US,TX,US5AN,5AN,Adrian,3516N 10239W,35.2748,-102.6652,America/Chicago,2017-03-09
Adrian,US,WV,USAR8,AR8,Adrian,3854N 08016W,38.9054,-80.2756,America/New_York,2006-01-15
Advance,US,IN,USA2D,A2D,Advance,3959N 08637W,39.9959,-86.6200,America/Indiana/Indianapolis,2017-05-23
Advance,US,MO,USAVX,AVX,Advance,3706N 08954W,37.1046,-89.9095,America/Chicago,2017-05-23
Advance,US,NC,USUAR,UAR,Advance,,35.9412,-80.4092,America/New_York,2017-05-23
Aesch,CH,BL,CHAES,AES,Aesch,4728N 00736E,47.4710,7.5973,Europe/Zurich,2013-02-28
Aesch,CH,LU,CHABL,ABL,Aesch,4716N 00815E,47.2564,8.2409,Europe/Zurich,2014-03-29
Aeugst am Albis,CH,ZH,CHXRE,XRE,Aeugst am Albis,4716N 00829E,47.2754,8.4897,Europe/Zurich,2017-07-26
Affeltrangen,CH,TG,CHAFF,AFF,Affeltrangen,4731N 00902E,47.5258,9.0331,Europe/Zurich,2015-09-06
Affoltern am Albis,CH,ZH,CHAFT,AFT,Affoltern am Albis,4717N 00826E,47.2774,8.4513,Europe/Zurich,2019-09-11
Affoltern im Emmental,CH,BE,CHAIE,AIE,Affoltern im Emmental,4704N 00744E,47.0650,7.7340,Europe/Zurich,2017-07-04
Affton,US,MO,USAFF,AFF,Affton,3833N 09019W,38.5506,-90.3332,America/Chicago,2017-05-23
Afognak,US,AK,USAFK,AFK,Afognak,5800N 15246W,58.0067,-152.7766,America/Anchorage,2015-10-01
Afton,US,IA,USAF5,AF5,Afton,4101N 09411W,41.0300,-94.1975,America/Chicago,2017-05-23
Afton,US,MI,USAF9,AF9,Afton,4522N 08429W,45.3739,-84.4967,America/Detroit,2017-05-23
Afton,US,MN,USFJT,FJT,Afton,4454N 09247W,44.9027,-92.7835,America/Chicago,2017-05-23
Afton,US,TN,USAFT,AFT,Afton,,36.1940,-82.7388,America/New_York,2006-01-15
Afton,US,VA,USAFQ,AFQ,Afton,,37.3896,-77.4847,America/New_York,2006-01-15
Afyonkarahisar,TR,03,TRAFY,AFY,Afyonkarahisar,,38.7500,30.6667,Europe/Istanbul,2017-11-29
Agawam,US,MA,USXBL,XBL,Agawam,,42.0695,-72.6148,America/New_York,2017-05-23
Agno,CH,TI,CHAGO,AGO,Agno,4559N 00851E,45.9986,8.9003,Europe/Zurich,2019-09-11
Agoura,US,CA,USUAX,UAX,Agoura,,34.1431,-118.7379,America/Los_Angeles,2006-01-15
Agoura Hills,US,CA,USAGH,AGH,Agoura Hills,3409N 11847W,34.1364,-118.7745,America/Los_Angeles,2017-03-09
Agua Dulce,US,CA,USA2G,A2G,Agua Dulce,3429N 11819W,34.4964,-118.3256,America/Los_Angeles,2011-05-14
Agua Dulce,US,TX,UST7X,T7X,Agua Dulce,2746N 09754W,27.7817,-97.9086,America/Chicago,2017-03-09
Aguanga,US,CA,USGKG,GKG,Aguanga,3326N 11651W,33.4428,-116.8650,America/Los_Angeles,2011-05-14
Aguda,PT,13,PTAGD,AGD,Aguda,4103N 00839W,39.9081,-8.3309,Europe/Lisbon,2011-08-28
Ahmetli,TR,45,TRAHM,AHM,Ahmetli,,38.6177,28.6702,Europe/Istanbul,2015-02-07
Ahoskie,US,NC,USAHE,AHE,Ahoskie,3617N 07700W,36.2868,-76.9847,America/New_York,2017-05-23
Ahsahka,US,ID,USAH2,AH2,Ahsahka,4630N 11619W,46.5021,-116.3240,America/Los_Angeles,2006-01-15
Aigle,CH,VD,CHAIG,AIG,Aigle,4619N 00658E,46.3181,6.9646,Europe/Zurich,2014-03-06
Ailey,US,GA,USYAY,YAY,Ailey,3211N 08234W,32.1874,-82.5657,America/New_York,2017-03-09
Ainsworth,US,NE,USAW2,AW2,Ainsworth,4233N 09952W,42.5450,-99.8615,America/Chicago,2017-05-23
Airmont,US,NY,USA2M,A2M,Airmont,4106N 07407W,41.1009,-74.1162,America/New_York,2017-05-23
Airolo,CH,TI,CHAIR,AIR,Airolo,4632N 00836E,46.5286,8.6119,Europe/Zurich,2016-08-03
Airway Heights,US,WA,USAYH,AYH,Airway Heights,4739N 11735W,47.6446,-117.5933,America/Los_Angeles,2017-03-09
Aitkin,US,MN,USKN9,KN9,Aitkin,4631N 09342W,46.5330,-93.7103,America/Chicago,2017-05-23
Aja,JP,47,JPAJX,AJX,Aja,,26.2377,127.6914,Asia/Tokyo,2017-11-09
Ajo,US,AZ,USAJ9,AJ9,Ajo,3222N 11251W,32.3717,-112.8607,America/Phoenix,2011-05-14
Akaiwa,JP,33,JPAKX,AKX,Akaiwa,3450N 13402E,33.0305,130.1044,Asia/Tokyo,2017-04-09
Akers,US,LA,USAKQ,AKQ,Akers,3017N 09024W,30.2902,-90.4018,America/Chicago,2006-01-15
Akhisar,TR,45,TRAHS,AHS,Akhisar,,38.9185,27.8401,Europe/Istanbul,2019-09-05
Akjoujt,MR,,MRAJJ,AJJ,Akjoujt,,19.7500,-14.3667,Africa/Nouakchott,2006-10-29
Akron,US,IA,USAK5,AK5,Akron,4249N 09633W,42.8289,-96.5595,America/Chicago,2017-05-23
Akron,US,IN,USAKC,AKC,Akron,4102N 08602W,41.0384,-86.0280,America/Indiana/Indianapolis,2017-05-23
Akron,US,MI,USAKA,AKA,Akron,4334N 08331W,43.5681,-83.5141,America/Detroit,2017-05-23
Akron,US,NY,USAKR,AKR,Akron,,43.0209,-78.4953,America/New_York,2017-05-23
Akron,US,PA,USARN,ARN,Akron,,40.1568,-76.2022,America/New_York,2017-05-23
Aksaray,TR,34,TRAKS,AKS,Aksaray,,41.0087,28.9502,Europe/Istanbul,2011-02-21
Akseki,TR,07,TRAKI,AKI,Akseki,,37.0486,31.7900,Europe/Istanbul,2012-01-18
Akçaabat,TR,61,TRAKB,AKB,Akcaabat,4101N 03934E,41.0212,39.5715,Europe/Istanbul,2020-06-10
Akçakoca,TR,14,TRKKC,KKC,Akcakoca,4105N 03106E,40.9232,32.2423,Europe/Istanbul,2018-12-05
Akçay,TR,10,TRAKY,AKY,Akcay,3935N 02656E,39.5858,26.9239,Europe/Istanbul,2020-06-10
Al Muharraq,BH,15,BHGBQ,GBQ,Al Muharraq,2615N 05036E,26.2572,50.6119,Asia/Bahrain,2019-06-17
Alabama,US,NY,USA9L,A9L,Alabama,4305N 07823W,43.0964,-78.3909,America/New_York,2017-05-23
Alabama City,US,AL,USZAC,ZAC,Alabama City,3401N 08402W,34.0223,-86.0455,America/Chicago,2010-02-14
Alabaster,US,AL,USLBA,LBA,Alabaster,3314N 08648W,33.2443,-86.8164,America/Chicago,2017-03-09
Alachua,US,FL,USAHU,AHU,Alachua,2947N 08229W,29.7516,-82.4248,America/New_York,2019-12-13
Aladdin,US,WY,USDNJ,DNJ,Aladdin,4438N 10410W,44.6400,-104.1835,America/Denver,2006-01-15
Alamance,US,NC,USAMC,AMC,Alamance,,36.0351,-79.4858,America/New_York,2017-03-09
Alameda,US,CA,USNGZ,NGZ,Alameda,,37.7710,-122.2609,America/Los_Angeles,2020-01-14
Alamo,US,CA,USUBB,UBB,Alamo,,37.8502,-122.0322,America/Los_Angeles,2011-05-14
Alamo,US,NV,USAM8,AM8,Alamo,3721N 11509W,37.3650,-115.1645,America/Los_Angeles,2011-05-14
Alamo,US,TN,USAMT,AMT,Alamo,,35.7848,-89.1173,America/Chicago,2017-03-09
Alamo,US,TX,USAMO,AMO,Alamo,,26.1837,-98.1231,America/Chicago,2017-03-09
Alanson,US,MI,USYAN,YAN,Alanson,4526N 08447W,45.4442,-84.7867,America/Detroit,2017-05-23
Alanya,TR,07,TRALA,ALA,Alanya,3632N 03159E,36.5438,31.9998,Europe/Istanbul,2018-08-11
Alba,US,MI,USTLB,TLB,Alba,4458N 08458W,44.9747,-84.9687,America/Detroit,2017-05-23
Alba,US,TX,USXAB,XAB,Alba,3248N 09538W,32.7929,-95.6344,America/Chicago,2017-03-09
Albany,US,CA,USALA,ALA,Albany,,37.8869,-122.2977,America/Los_Angeles,2017-03-09
Albany,US,IL,USAJB,AJB,Albany,4147N 09013W,41.7895,-90.2193,America/Chicago,2017-05-23
Albany,US,IN,USAB5,AB5,Albany,4018N 08515W,40.3009,-85.2419,America/Indiana/Indianapolis,2017-05-23
Albany,US,KY,USAY9,AY9,Albany,3641N 08508W,36.6909,-85.1347,America/Chicago,2017-03-09
Albany,US,LA,USA7Y,A7Y,Albany,3030N 09035W,30.5044,-90.5823,America/Chicago,2017-03-09
Albany,US,MN,USAL2,AL2,Albany,4537N 09434W,45.6300,-94.5700,America/Chicago,2017-05-23
Albany,US,MO,US5BN,5BN,Albany,4014N 09419W,39.2233,-94.1133,America/Chicago,2017-05-23
Albany,US,OH,USUBA,UBA,Albany,,39.2276,-82.2024,America/New_York,2017-05-23
Albany,US,OR,USAYK,AYK,Albany,4438N 12306W,44.6365,-123.1059,America/Los_Angeles,2017-03-09
Albany,US,TX,USUBE,UBE,Albany,,32.7234,-99.2973,America/Chicago,2017-03-09
Albany,US,VT,USAYX,AYX,Albany,4443N 07222W,44.7309,-72.3798,America/New_York,2017-05-23
Albany,US,WI,USAYW,AYW,Albany,4242N 08926W,42.7078,-89.4371,America/Chicago,2017-05-23
Albany,US,WY,USAB2,AB2,Albany,4111N 10608W,41.1841,-106.1320,America/Denver,2011-05-14
Albemarle,US,NC,USUAD,UAD,Albemarle,,35.6115,-82.5426,America/New_York,2017-05-23
Albers,US,IL,USLXR,LXR,Albers,3832N 08936W,38.5434,-89.6123,America/Chicago,2017-05-23
Alberswil,CH,LU,CHALZ,ALZ,Alberswil,4709N 00800E,47.1500,8.0031,Europe/Zurich,2014-03-29
Albert Lea,US,MN,USAEL,AEL,Albert Lea,,43.6486,-93.3624,America/Chicago,2017-05-23
Alberta,US,AL,USA8A,A8A,Alberta,3213N 08724W,32.2321,-87.4100,America/Chicago,2006-01-15
Albertson,US,NY,USOBQ,OBQ,Albertson,4046N 07338W,40.7734,-73.6432,America/New_York,2017-05-23
Albertville,US,AL,USABV,ABV,Albertville,,34.2678,-86.2088,America/Chicago,2017-04-08
Albertville,US,MN,USALV,ALV,Albertville,,45.2377,-93.6544,America/Chicago,2017-05-23
Albia,US,IA,USAL6,AL6,Albia,4101N 09248E,41.0300,-92.8113,America/Chicago,2017-05-23
Albin,US,WY,USAQI,AQI,Albin,4125N 10406W,41.4178,-104.0983,America/Denver,2017-03-09
Albion,US,IA,USAB7,AB7,Albion,4206N 09259W,42.1125,-92.9885,America/Chicago,2017-05-23
Albion,US,ID,USAN5,AN5,Albion,4225N 11335W,42.4127,-113.5781,America/Boise,2017-03-09
Albion,US,IL,USAOB,AOB,Albion,,38.3775,-88.0562,America/Chicago,2017-03-09
Albion,US,IN,USYAB,YAB,Albion,4124N 08525W,38.7437,-85.7341,America/Indiana/Indianapolis,2017-05-23
Albion,US,ME,USAO7,AO7,Albion,4431N 06926W,44.5323,-69.4425,America/New_York,2017-05-23
Albion,US,MI,USAOX,AOX,Albion,4214N 08445W,42.2431,-84.7530,America/Detroit,2017-05-23
Albion,US,NE,USAB8,AB8,Albion,4141N 09800W,41.6958,-98.0042,America/Chicago,2010-02-20
Albion,US,NY,USAON,AON,Albion,,43.2465,-78.1936,America/New_York,2017-05-23
Alborn,US,MN,USAO9,AO9,Alborn,4658N 09234W,46.9730,-92.5760,America/Chicago,2017-05-23
Albright,US,WV,USQQE,QQE,Albright,3929N 07938W,39.4940,-79.6428,America/New_York,2017-03-09
Albrightsville,US,PA,USAB6,AB6,Albrightsville,4101N 07536W,41.0145,-75.6010,America/New_York,2017-05-23
Alburg,US,VT,USALR,ALR,Alburg,4458N 07318W,44.9750,-73.3001,America/New_York,2017-05-23
Alburnett,US,IA,USEUZ,EUZ,Alburnett,4208N 09137W,42.1483,-91.6185,America/Chicago,2017-05-23
Alburtis,US,PA,USALU,ALU,Alburtis,,40.5109,-75.6030,America/New_York,2017-05-23
Alcalde,US,NM,USXAC,XAC,Alcalde,3605N 10603W,36.0889,-106.0536,America/Denver,2011-05-14
Alcan,US,AK,USZAK,ZAK,Alcan,6243N 14111W,62.7231,-141.1881,America/Anchorage,2010-01-30
Alcester,US,SD,USALJ,ALJ,Alcester,4301N 09638W,43.0214,-96.6309,America/Chicago,2017-05-23
Alcoa,US,TN,USACO,ACO,Alcoa,,35.7895,-83.9738,America/New_York,2017-03-09
Alda,US,NE,USAD4,AD4,Alda,4052N 09828W,40.8692,-98.4684,America/Chicago,2017-05-23
Aldan,US,PA,US2AD,2AD,Aldan,3955N 07517W,39.9215,-75.2880,America/New_York,2017-05-23
Alden,US,IA,USEDH,EDH,Alden,4231N 09322W,42.5203,-93.3760,America/Chicago,2017-05-23
Alden,US,MN,USDNF,DNF,Alden,4340N 09335W,43.6702,-93.5760,America/Chicago,2017-05-23
Alden,US,NY,USYLF,YLF,Alden,4254N 07830W,42.9001,-78.4920,America/New_York,2017-05-23
Alder,US,MT,USA75,A75,Alder,4519N 11206W,45.3238,-112.1072,America/Denver,2011-05-14
Aldie,US,VA,USAL7,AL7,Aldie,3858N 07738W,38.9757,-77.6414,America/New_York,2010-02-18
Aldine,US,TX,USAD8,AD8,Aldine,2955N 09522W,29.9324,-95.3802,America/Chicago,2011-05-14
Aledo,US,IL,USAD5,AD5,Aledo,4111N 09044W,41.1998,-90.7493,America/Chicago,2017-05-23
Aledo,US,TX,USAQD,AQD,Aledo,3242N 09736W,32.6960,-97.6022,America/Chicago,2017-03-09
Alexander,US,AR,USYAX,YAX,Alexander,3437N 09226W,34.6295,-92.4413,America/Chicago,2017-05-23
Alexander,US,IA,USAEX,AEX,Alexander,4248N 09328W,42.8058,-93.4766,America/Chicago,2017-05-23
Alexander,US,IL,USZXA,ZXA,Alexander,3943N 09002W,39.7245,-90.0382,America/Chicago,2006-01-15
Alexander,US,ND,USAKX,AKX,Alexander,4750N 10338W,47.8431,-103.6427,America/Chicago,2017-05-23
Alexander,US,NY,USA37,A37,Alexander,4254N 07815W,42.9012,-78.2567,America/New_York,2017-05-23
Alexandria,US,IN,USAXD,AXD,Alexandria,,40.2628,-85.6758,America/Indiana/Indianapolis,2017-05-23
Alexandria,US,KY,USAXP,AXP,Alexandria,3857N 08423W,38.9595,-84.3880,America/New_York,2017-03-09
Alexandria,US,MO,USAXY,AXY,Alexandria,4021N 09127W,40.3595,-91.4554,America/Chicago,2017-05-23
Alexandria,US,OH,USAZ4,AZ4,Alexandria,3843N 08302W,38.7245,-83.0480,America/New_York,2017-05-23
Alexandria,US,PA,USAXA,AXA,Alexandria,,40.5565,-78.0978,America/New_York,2017-05-23
Alexandria,US,TN,USXAA,XAA,Alexandria,3604N 08602W,36.0776,-86.0333,America/Chicago,2017-03-09
Alexandria,US,VA,USAXR,AXR,Alexandria,3848N 07702W,38.8048,-77.0469,America/New_York,2017-03-09
Alexis,US,IL,USLEV,LEV,Alexis,4103N 09033W,41.0634,-90.5560,America/Chicago,2017-05-23
Alexis,US,NC,US5G3,5G3,Alexis,3523N 08107W,35.3999,-81.1179,America/New_York,2017-05-23
Alford,US,MA,USA74,A74,Alford,4214N 07324W,42.2356,-73.4134,America/New_York,2017-05-23
Alfred,US,ME,USAFE,AFE,Alfred,4329N 07043W,43.4765,-70.7184,America/New_York,2017-05-23
Alfred,US,NY,USQAF,QAF,Alfred,4215N 07747W,42.2542,-77.7905,America/New_York,2017-05-23
Alfred Station,US,NY,USAFS,AFS,Alfred Station,4216N 07745W,42.2698,-77.7592,America/New_York,2017-05-23
Alger,US,MI,USAQG,AQG,Alger,4408N 08407W,44.1256,-84.1211,America/Detroit,2017-05-23
Alger,US,OH,USAJE,AJE,Alger,4042N 08350W,40.7062,-83.8438,America/New_York,2017-05-23
Algiers,US,LA,USUAY,UAY,Algiers,,29.9449,-90.0467,America/Chicago,2017-05-23
