name,country_code,subdivision,unlocode,location,asciiname,coordinates,latitude,longitude,timezone,modification date
Aadorf,CH,TG,CHARF,ARF,Aadorf,4729N 00854E,47.4920,8.9010,Europe/Zurich,2013-03-28
Aarau,CH,AG,CHAAR,AAR,Aarau,,47.3925,8.0442,Europe/Zurich,2020-06-29
Aarberg,CH,BE,CHABG,ABG,Aarberg,4703N 00717E,47.0444,7.2758,Europe/Zurich,2013-02-28
Aarburg,CH,AG,CHAAB,AAB,Aarburg,4718N 00753E,47.3207,7.8999,Europe/Zurich,2019-09-11
Aaron,US,GA,USOQU,OQU,Aaron,3234N 08159W,32.5682,-81.9923,America/New_York,2006-01-15
Aaronsburg,US,PA,USAA7,AA7,Aaronsburg,4053N 07727W,40.8998,-77.4533,America/New_York,2017-05-23
Aarwangen,CH,BE,CHAWG,AWG,Aarwangen,4714N 00745E,47.2385,7.7685,Europe/Zurich,2013-03-01
Abbeville,US,AL,USABB,ABB,Abbeville,,31.5718,-85.2505,America/Chicago,2017-03-09
Abbeville,US,LA,USUAB,UAB,Abbeville,,29.9747,-92.1343,America/Chicago,2017-03-09
Abbeville,US,MS,USAV4,AV4,Abbeville,3430N 08930W,34.5032,-89.5031,America/Chicago,2017-03-09
Abbeville,US,SC,USABF,ABF,Abbeville,,34.1782,-82.3790,America/New_York,2017-03-09
Abbotsford,US,WI,USABD,ABD,Abbotsford,,44.9464,-90.3160,America/Chicago,2017-05-23
Abbott,US,TX,US9AB,9AB,Abbott,3153N 09704W,31.8849,-97.0733,America/Chicago,2017-03-09
Abbott Park,US,IL,USABJ,ABJ,Abbott Park,4219N 08751W,41.7209,-87.6217,America/Chicago,2006-01-15
Abbottstown,US,PA,USAQW,AQW,Abbottstown,3953N 07659W,39.8865,-76.9847,America/New_York,2017-05-23
Abbyville,US,KS,USA4B,A4B,Abbyville,3758N 09812W,37.9708,-98.2042,America/Chicago,2017-05-23
Abercrombie,US,ND,USAC8,AC8,Abercrombie,4626N 09643W,46.4477,-96.7304,America/Chicago,2017-05-23
Aberdeen,US,ID,USAPD,APD,Aberdeen,4256N 11250W,42.9441,-112.8383,America/Boise,2017-03-09
Aberdeen,US,KY,USABK,ABK,Aberdeen,3715N 08641W,37.2539,-86.6817,America/Chicago,2006-01-15
Aberdeen,US,MS,USAEK,AEK,Aberdeen,3349N 08833W,33.8251,-88.5437,America/Chicago,2017-03-09
Aberdeen,US,NC,USUAE,UAE,Aberdeen,,35.1315,-79.4295,America/New_York,2017-03-09
Aberdeen,US,OH,USAHD,AHD,Aberdeen,3839N 08345W,38.6556,-83.7610,America/New_York,2017-05-23
Aberdeen,US,WA,USGHR,GHR,Aberdeen,4658N 12349W,46.9754,-123.8157,America/Los_Angeles,2017-03-09
Abernathy,US,TX,USUAF,UAF,Abernathy,,33.8323,-101.8430,America/Chicago,2017-03-09
Abilene,US,KS,USABZ,ABZ,Abilene,,38.9172,-97.2139,America/Chicago,2019-09-05
Abingdon,US,IL,USABG,ABG,Abingdon,,40.8045,-90.4018,America/Chicago,2017-05-23
Abingdon,US,MD,USNGD,NGD,Abingdon,3927N 07616W,39.4623,-76.2791,America/New_York,2010-09-05
Abington,US,MA,USUUM,UUM,Abington,4207N 07056W,42.1048,-70.9453,America/New_York,2017-05-23
Abington,US,PA,USAP3,AP3,Abington,4007N 07507W,40.1207,-75.1179,America/New_York,2017-05-23
