name,country_code,unlocode,location,asciiname,coordinates,latitude,longitude,timezone,modification date
Albany,US,USAB5,AB5,Albany,4018N 08515W,31.578509999999998,-84.15574000000001,America/New_York,2017-03-09
Albany,US,USAJB,AJB,Albany,4147N 09013W,31.578509999999998,-84.15574000000001,America/New_York,2017-03-09
Albany,US,USAL2,AL2,Albany,4537N 09434W,31.578509999999998,-84.15574000000001,America/New_York,2017-03-09
Albany,US,USAY9,AY9,Albany,3641N 08508W,31.578509999999998,-84.15574000000001,America/New_York,2017-03-09
Albany,US,USAYW,AYW,Albany,4242N 08926W,31.578509999999998,-84.15574000000001,America/New_York,2017-03-09
Albany,US,USAYX,AYX,Albany,4443N 07222W,31.578509999999998,-84.15574000000001,America/New_York,2017-03-09
Albany,US,USUBA,UBA,Albany,,31.578509999999998,-84.15574000000001,America/New_York,2017-03-09
Albany,US,USUBE,UBE,Albany,,31.578509999999998,-84.15574000000001,America/New_York,2017-03-09
Albany Creek,AU,AUACK,ACK,Albany Creek,2721S 15259E,-27.353640000000002,152.96848,Australia/Brisbane,2019-07-18
Albardón,AR,ARALN,ALN,Albardon,3126S 06831W,-31.43722,-68.52556,America/Argentina/San_Juan,2015-04-22
Albenga,IT,ITALL,ALL,Albenga,,44.04997,8.21829,Europe/Rome,2014-01-11
Alberton,ZA,ZAABT,ABT,Alberton,2615S 02807E,-26.26786,28.12225,Africa/Johannesburg,2017-12-06
Albertslund,DK,DKABT,ABT,Albertslund,,55.656909999999996,12.36381,Europe/Copenhagen,2017-10-18
Albertville,FR,FRATV,ATV,Albertville,,45.67452,6.39061,Europe/Paris,2019-09-05
Albertville,US,USALV,ALV,Albertville,,34.26783,-86.20878,America/Chicago,2017-04-08
Albi,FR,FRBBI,BBI,Albi,4356N 00209E,43.9298,2.148,Europe/Paris,2016-02-18
Albignasego,IT,ITABG,ABG,Albignasego,4520N 01151E,45.34705,11.86781,Europe/Rome,2015-07-20
Alblasserdam,NL,NLABL,ABL,Alblasserdam,,51.865829999999995,4.66111,Europe/Amsterdam,2018-09-06
Albolote,ES,ESACB,ACB,Albolote,,37.23088,-3.6551,Europe/Madrid,2012-03-04
Alboraya,ES,ESALR,ALR,Alboraya,,39.5,-0.35,Europe/Madrid,2012-03-04
Albstadt,DE,DEALB,ALB,Albstadt,,48.216440000000006,9.025960000000001,Europe/Berlin,2019-09-05
Albufeira,PT,PTABF,ABF,Albufeira,3705N 00815W,37.088190000000004,-8.2503,Europe/Lisbon,2015-11-13
Alcabideche,PT,PTACB,ACB,Alcabideche,3844N 00925W,38.73366,-9.40928,Europe/Lisbon,2012-01-17
Alcalde Díaz,PA,PAADZ,ADZ,Alcalde Diaz,0907N 07933W,9.12016,-79.55641,America/Panama,2017-08-16
Alcalá de Guadaira,ES,ESAKG,AKG,Alcala de Guadaira,3720N 00550W,37.33791,-5.83951,Europe/Madrid,2012-01-19
Alcalá de Henares,ES,ESACL,ACL,Alcala de Henares,4029N 00322W,40.48205,-3.35996,Europe/Madrid,2019-09-05
Alcalá la Real,ES,ESAKA,AKA,Alcala la Real,3728N 00356W,37.4614,-3.9230099999999997,Europe/Madrid,2012-08-13
Alcamo,IT,ITALC,ALC,Alcamo,,37.9779,12.96473,Europe/Rome,2015-07-12
Alcantarilla,ES,ESAKJ,AKJ,Alcantarilla,,37.969390000000004,-1.2171399999999999,Europe/Madrid,2012-03-04
Alcañiz,ES,ESACZ,ACZ,Alcaniz,4102N 00007W,41.05,-0.13333,Europe/Madrid,2012-03-04
Alcobaça,PT,PTALO,ALO,Alcobaca,3933N 00859W,39.55223,-8.97749,Europe/Lisbon,2018-05-23
Alcobendas,ES,ESABZ,ABZ,Alcobendas,,40.54746,-3.6419699999999997,Europe/Madrid,2013-08-24
Alcorcón,ES,ESACC,ACC,Alcorcon,4021N 00350W,40.34582,-3.8248699999999998,Europe/Madrid,2019-09-05
Alcoy,ES,ESAKF,AKF,Alcoy,,38.70545,-0.47431999999999996,Europe/Madrid,2012-03-04
Alcázar de San Juan,ES,ESAKZ,AKZ,Alcazar de San Juan,3924N 00312W,39.39011,-3.20827,Europe/Madrid,2019-12-15
Aldaia,ES,ESZBR,ZBR,Aldaia,3927N 00027W,39.46569,-0.46005,Europe/Madrid,2012-03-04
