name,country_code,unlocode,location,asciiname,coordinates,latitude,longitude,timezone,modification date
's-Gravenzande,NL,NLGRZ,GRZ,'s-Gravenzande,5200N 00410E,52.001670000000004,4.16528,Europe/Amsterdam,2017-10-17
's-Hertogenbosch,NL,NLHTB,HTB,'s-Hertogenbosch,5142N 00519E,51.69917,5.30417,Europe/Amsterdam,2020-01-13
Aachen,DE,DEAAH,AAH,Aachen,,50.77664,6.083419999999999,Europe/Berlin,2014-05-11
Aalborg,DK,DKAAL,AAL,Aalborg,,57.048,9.9187,Europe/Copenhagen,2019-09-05
Aalen,DE,DEAAL,AAL,Aalen,,48.83777,10.0933,Europe/Berlin,2014-05-09
Aalsmeer,NL,NLAAM,AAM,Aalsmeer,,52.259170000000005,4.75972,Europe/Amsterdam,2017-10-17
Aalst,BE,BEAAB,AAB,Aalst,5056N 00402E,50.936040000000006,4.0355,Europe/Brussels,2020-06-01
Aalten,NL,NLLTE,LTE,Aalten,,51.925,6.58056,Europe/Amsterdam,2017-10-17
Aalter,BE,BEAAL,AAL,Aalter,5105N 00327E,51.09017,3.4469300000000005,Europe/Brussels,2019-01-17
Aarschot,BE,BEAAS,AAS,Aarschot,5059N 00450E,50.98715,4.83695,Europe/Brussels,2012-01-18
Aba,NG,NGQAX,QAX,Aba,0507N 00722E,5.10658,7.36667,Africa/Lagos,2020-06-29
Abadan,IR,IRABD,ABD,Abadan,,30.3392,48.3043,Asia/Tehran,2019-09-05
Abadeh,IR,IRJBD,JBD,Abadeh,3002N 05232E,31.1608,52.6506,Asia/Tehran,2020-06-30
Abaetetuba,BR,BRATB,ATB,Abaetetuba,0142S 04854W,-1.71806,-48.8825,America/Belem,2012-08-03
Abaeté,BR,BRABT,ABT,Abaete,1909S 04527W,-19.16,-45.44583,America/Sao_Paulo,2012-08-03
Abakaliki,NG,NGABA,ABA,Abakaliki,0620N 08600E,6.32485,8.11368,Africa/Lagos,2016-01-30
Abakan,RU,RUABA,ABA,Abakan,5342N 09125E,53.715559999999996,91.42917,Asia/Krasnoyarsk,2019-09-05
Abancay,PE,PEAB4,AB4,Abancay,1338S 07252W,-13.63389,-72.88139,America/Lima,2020-07-01
Abano Terme,IT,ITAOM,AOM,Abano Terme,4521N 01147E,45.35753,11.78725,Europe/Rome,2014-04-13
Abashiri,JP,JPABA,ABA,Abashiri,,44.02127,144.26971,Asia/Tokyo,2018-05-06
Abasolo,MX,MXASO,ASO,Abasolo,,20.44997,-101.53073,America/Mexico_City,2018-11-03
Abbeville,FR,FRABB,ABB,Abbeville,5006N 00150E,50.10521,1.8354700000000002,Europe/Paris,2019-04-10
Abbiategrasso,IT,ITATR,ATR,Abbiategrasso,4524N 00854E,45.39821,8.916780000000001,Europe/Rome,2014-01-16
Abbotsford,CA,CAABB,ABB,Abbotsford,,49.05798,-122.25256999999999,America/Vancouver,2019-02-26
Abbottabad,PK,PKAAW,AAW,Abbottabad,,34.1463,73.21168,Asia/Karachi,2020-07-01
Abdulino,RU,RUABD,ABD,Abdulino,5342N 05340E,53.7,53.666669999999996,Asia/Yekaterinburg,2019-09-05
Abengourou,CI,CIOGO,OGO,Abengourou,,6.7297199999999995,-3.4963900000000003,Africa/Abidjan,2016-05-21
Abeokuta,NG,NGAKA,AKA,Abeokuta,0709N 00320E,7.155710000000001,3.3450900000000003,Africa/Lagos,2016-01-30
Aberdare,GB,GBABE,ABE,Aberdare,,51.71438,-3.44918,Europe/London,2020-06-20
Aberdeen,GB,GBABD,ABD,Aberdeen,5708N 00206W,57.14369,-2.0981400000000003,Europe/London,2020-07-01
Aberdeen,US,USAB3,AB3,Aberdeen,4023N 07415W,39.50956,-76.16412,America/New_York,2017-09-24
Aberdeen,US,USABK,ABK,Aberdeen,3715N 08641W,39.50956,-76.16412,America/New_York,2017-09-24
Aberdeen,US,USAEK,AEK,Aberdeen,3349N 08833W,39.50956,-76.16412,America/New_York,2017-09-24
Aberdeen,US,USAHD,AHD,Aberdeen,3839N 08345W,39.50956,-76.16412,America/New_York,2017-09-24
Aberdeen,US,USAPD,APD,Aberdeen,4256N 11250W,39.50956,-76.16412,America/New_York,2017-09-24
Aberdeen,US,USUAE,UAE,Aberdeen,,39.50956,-76.16412,America/New_York,2017-09-24
Aberdeen,US,USXBA,XBA,Aberdeen,,39.50956,-76.16412,America/New_York,2017-09-24
Abergele,GB,GBAEE,AEE,Abergele,5317N 00335W,53.28436,-3.5822,Europe/London,2011-03-03
Aberystwyth,GB,GBAYW,AYW,Aberystwyth,5225N 00405W,52.41548,-4.08292,Europe/London,2020-06-14
Abha,SA,SAAHB,AHB,Abha,,18.21639,42.50528,Asia/Riyadh,2018-05-07
Abhar,IR,IRABR,ABR,Abhar,3608N 04913E,36.1468,49.218,Asia/Tehran,2017-08-01
Abidjan,CI,CIABJ,ABJ,Abidjan,0520N 00401W,5.35444,-4.00167,Africa/Abidjan,2020-07-02
Abiko,JP,JPAKC,AKC,Abiko,3552N 14002E,35.86667,140.01667,Asia/Tokyo,2018-05-09
Abilene,US,USABZ,ABZ,Abilene,,32.44874,-99.73314,America/Chicago,2019-09-05
Abingdon,GB,GBAGN,AGN,Abingdon,,51.67109,-1.28278,Europe/London,2018-07-03
Abington,US,USAP3,AP3,Abington,4007N 07507W,42.104820000000004,-70.94532,America/New_York,2017-05-23
Abinsk,RU,RUABK,ABK,Abinsk,4452N 03809E,44.86803,38.15728,Europe/Moscow,2019-09-05
Abohar,IN,INABH,ABH,Abohar,3009N 07411E,30.14453,74.19552,Asia/Kolkata,2015-02-06
Aboisso,CI,CIABO,ABO,Aboisso,0528N 00312W,5.46779,-3.2071099999999997,Africa/Abidjan,2016-05-18
Abomey-Calavi,BJ,BJAMV,AMV,Abomey-Calavi,0627N 00221E,6.448519999999999,2.35566,Africa/Porto-Novo,2018-02-26
Abony,HU,HUABO,ABO,Abony,4711N 02000E,47.1899,20.00476,Europe/Budapest,2012-01-18
Abovyan,AM,AMABO,ABO,Abovyan,4016N 04447E,40.27368,44.63348,Asia/Yerevan,2016-04-10
Abqaiq,SA,SAABQ,ABQ,Abqaiq,2556N 04940E,25.93402,49.6688,Asia/Riyadh,2017-10-03
Abreu e Lima,BR,BRALM,ALM,Abreu e Lima,0757S 03453W,-7.91167,-34.90278,America/Recife,2012-08-03
Abu Dhabi,AE,AEAUH,AUH,Abu Dhabi,2428N 05422E,24.451179999999997,54.39696,Asia/Dubai,2019-09-05
Abuja,NG,NGABV,ABV,Abuja,,9.05785,7.495080000000001,Africa/Lagos,2019-09-05
Abéché,TD,TDAEH,AEH,Abeche,1349N 02049E,13.82916,20.8324,Africa/Ndjamena,2019-09-05
Acacías,CO,COAAS,AAS,Acacias,0359N 07345W,3.98695,-73.75797,America/Bogota,2018-08-08
Acajete,MX,MXACE,ACE,Acajete,1906N 09757W,19.111539999999998,-97.95231,America/Mexico_City,2018-11-03
Acajete,MX,MXJJT,JJT,Acajete,1935N 09700W,19.111539999999998,-97.95231,America/Mexico_City,2018-11-03
Acajutla,SV,SVAQJ,AQJ,Acajutla,,13.59278,-89.8275,America/El_Salvador,2012-01-18
Acaponeta,MX,MXACP,ACP,Acaponeta,2230N 10522W,22.49396,-105.36368999999999,America/Mazatlan,2018-11-03
Acarigua,VE,VEAGV,AGV,Acarigua,,9.55451,-69.19564,America/Caracas,2012-10-18
Acatlán de Osorio,MX,MXADO,ADO,Acatlan de Osorio,1812N 09803W,18.2025,-98.04864,America/Mexico_City,2018-11-03
Acatzingo,MX,MXJCZ,JCZ,Acatzingo,1858N 09746W,18.98196,-97.78363,America/Mexico_City,2018-11-03
Accra,GH,GHACC,ACC,Accra,,5.556019999999999,-0.1969,Africa/Accra,2019-12-05
Accrington,GB,GBACR,ACR,Accrington,,53.75379,-2.35863,Europe/London,2010-05-24
Acerra,IT,ITARR,ARR,Acerra,4057N 01422E,40.94477,14.3714,Europe/Rome,2015-08-20
Achern,DE,DEACH,ACH,Achern,,48.63115,8.07607,Europe/Berlin,2013-02-16
Achim,DE,DEACM,ACM,Achim,5302N 00901E,53.01416,9.0263,Europe/Berlin,2011-03-15
Achim,DE,DEACW,ACW,Achim,5204N 01036E,53.01416,9.0263,Europe/Berlin,2011-03-15
Achinsk,RU,RUACS,ACS,Achinsk,,56.2694,90.4993,Asia/Krasnoyarsk,2019-09-05
Achères,FR,FRACH,ACH,Acheres,4858N 00204E,48.96115,2.06882,Europe/Paris,2016-02-18
Aci Castello,IT,ITACL,ACL,Aci Castello,3733N 01508E,37.555640000000004,15.14535,Europe/Rome,2014-04-13
Acireale,IT,ITACR,ACR,Acireale,,37.60886,15.165770000000002,Europe/Rome,2015-08-20
Acquaviva delle Fonti,IT,ITADF,ADF,Acquaviva delle Fonti,4054N 01650E,40.897040000000004,16.8433,Europe/Rome,2014-04-13
Acqui Terme,IT,ITACI,ACI,Acqui Terme,4441N 00828E,44.67552,8.469339999999999,Europe/Rome,2019-09-27
Acre,IL,ILACR,ACR,Acre,,32.92814,35.07647,Asia/Jerusalem,2018-12-05
Acton,GB,GBACN,ACN,Acton,,51.509009999999996,-0.2762,Europe/London,2010-09-22
Acton,US,US8ON,8ON,Acton,4332N 07054W,42.48509,-71.43284,America/New_York,2017-05-23
Acton,US,USAXJ,AXJ,Acton,3428N 11811W,42.48509,-71.43284,America/New_York,2017-05-23
Acton,US,UST5C,T5C,Acton,3939N 08558W,42.48509,-71.43284,America/New_York,2017-05-23
Acton,US,USTZO,TZO,Acton,3226N 09741W,42.48509,-71.43284,America/New_York,2017-05-23
Actopan,MX,MXJCP,JCP,Actopan,2016N 09856W,20.26961,-98.94377,America/Mexico_City,2018-11-03
Acworth,US,US6WT,6WT,Acworth,4313N 07217W,34.06635,-84.67837,America/New_York,2017-03-09
Ada,US,USADZ,ADZ,Ada,,34.77453,-96.67834,America/Chicago,2017-03-09
Ada,US,USAJJ,AJJ,Ada,4046N 08349W,34.77453,-96.67834,America/Chicago,2017-03-09
Ada,US,USDD2,DD2,Ada,4718N 09631W,34.77453,-96.67834,America/Chicago,2017-03-09
Adamantina,BR,BRAMT,AMT,Adamantina,2141S 05104W,-21.68528,-51.0725,America/Sao_Paulo,2012-08-03
Adana,TR,TRADA,ADA,Adana,,36.98615,35.325309999999995,Europe/Istanbul,2020-01-08
Addis Ababa,ET,ETADD,ADD,Addis Ababa,,9.02497,38.74689,Africa/Addis_Ababa,2020-05-28
Addison,US,USADS,ADS,Addison,,32.96179,-96.82916999999999,America/Chicago,2017-03-09
Addison,US,USADX,ADX,Addison,,32.96179,-96.82916999999999,America/Chicago,2017-03-09
Addison,US,USIAB,IAB,Addison,4437N 06745W,32.96179,-96.82916999999999,America/Chicago,2017-03-09
Addison,US,USQDS,QDS,Addison,3944N 07920W,32.96179,-96.82916999999999,America/Chicago,2017-03-09
Addison,US,USXDS,XDS,Addison,4206N 07714W,32.96179,-96.82916999999999,America/Chicago,2017-03-09
Addison,US,USYAI,YAI,Addison,4159N 08421W,32.96179,-96.82916999999999,America/Chicago,2017-03-09
Adeje,ES,ESAEJ,AEJ,Adeje,2807N 01643W,28.122709999999998,-16.726,Atlantic/Canary,2012-03-04
Adelaide,AU,AUADL,ADL,Adelaide,3455S 13835E,-34.92866,138.59863,Australia/Adelaide,2020-06-19
Adelfia,IT,ITB7A,B7A,Adelfia,4100N 01652E,41.0033,16.87208,Europe/Rome,2014-04-13
Aden,YE,YEADE,ADE,Aden,,12.77944,45.03667,Asia/Aden,2020-06-11
Adjud,RO,ROADJ,ADJ,Adjud,4606N 02710E,46.1,27.16667,Europe/Bucharest,2016-02-07
Adra,ES,ESADR,ADR,Adra,3645N 00301W,36.74831,-3.0207599999999997,Europe/Madrid,2019-10-14
Adrano,IT,ITZCF,ZCF,Adrano,3740N 01450E,37.663579999999996,14.83283,Europe/Rome,2015-08-10
Adrar,DZ,DZAZR,AZR,Adrar,2752N 00017W,27.874290000000002,-0.29388000000000003,Africa/Algiers,2016-01-30
Adrian,US,US5AN,5AN,Adrian,3516N 10239W,41.89755,-84.03716999999999,America/Detroit,2017-05-23
Adrian,US,USAD9,AD9,Adrian,4053N 07932W,41.89755,-84.03716999999999,America/Detroit,2017-05-23
Adrian,US,USAI4,AI4,Adrian,4338N 09555W,41.89755,-84.03716999999999,America/Detroit,2017-05-23
Adrian,US,USAQA,AQA,Adrian,4105N 08319W,41.89755,-84.03716999999999,America/Detroit,2017-05-23
Adrian,US,USAR8,AR8,Adrian,3854N 08016W,41.89755,-84.03716999999999,America/Detroit,2017-05-23
Adrian,US,USDIA,DIA,Adrian,4356N 09036W,41.89755,-84.03716999999999,America/Detroit,2017-05-23
Adrian,US,USUAO,UAO,Adrian,,41.89755,-84.03716999999999,America/Detroit,2017-05-23
Adwick le Street,GB,GBAKS,AKS,Adwick le Street,5334N 00111W,53.570769999999996,-1.18454,Europe/London,2017-06-12
Adzopé,CI,CIADZ,ADZ,Adzope,0606N 00351W,6.10694,-3.86194,Africa/Abidjan,2016-12-03
Afogados da Ingazeira,BR,BRADI,ADI,Afogados da Ingazeira,0744S 03738W,-7.7508300000000006,-37.63917,America/Recife,2012-08-03
Afragola,IT,ITAFR,AFR,Afragola,,40.922979999999995,14.30935,Europe/Rome,2015-08-25
Afula,IL,ILAFU,AFU,Afula,3236N 03517E,32.60907,35.2892,Asia/Jerusalem,2017-07-03
Agadir,MA,MAAGA,AGA,Agadir,,30.42018,-9.59815,Africa/Casablanca,2019-05-09
Agartala,IN,INIXA,IXA,Agartala,,23.83605,91.27939,Asia/Kolkata,2014-10-14
Agboville,CI,CIAGB,AGB,Agboville,0556N 00413W,5.92801,-4.21319,Africa/Abidjan,2016-05-18
Agde,FR,FRAGD,AGD,Agde,4319N 00328E,43.310829999999996,3.47583,Europe/Paris,2019-03-12
Agen,FR,FRAGF,AGF,Agen,4412N 00037E,44.20199,0.62055,Europe/Paris,2020-01-08
Aghajari,IR,IRAKW,AKW,Aghajari,3730N 04558E,30.7006,49.8315,Asia/Tehran,2013-05-08
Aginskoye,RU,RUAGI,AGI,Aginskoye,,51.1,114.53,Asia/Chita,2016-11-29
Agios Ioannis Rentis,GR,GRGRA,GRA,Agios Ioannis Rentis,3757N 02340E,37.964909999999996,23.665110000000002,Europe/Athens,2019-10-23
Agoo,PH,PHAOO,AOO,Agoo,1619N 12022E,16.08333,120.1,Asia/Manila,2017-12-13
Agra,IN,INAGR,AGR,Agra,,27.183329999999998,78.01666999999999,Asia/Kolkata,2016-10-17
Agrigento,IT,ITAGR,AGR,Agrigento,3719N 01334E,37.31065,13.57661,Europe/Rome,2015-07-12
Agropoli,IT,ITAGP,AGP,Agropoli,4021N 01459E,40.34923,14.990670000000001,Europe/Rome,2015-07-21
Agua Dulce,MX,MXAGD,AGD,Agua Dulce,2953N 11453W,18.13909,-94.14527,America/Mexico_City,2018-11-03
Agua Prieta,MX,MXAPR,APR,Agua Prieta,3118N 10934W,31.330709999999996,-109.54876000000002,America/Hermosillo,2016-12-10
Aguachica,CO,COAGC,AGC,Aguachica,0818N 07337W,8.30844,-73.6166,America/Bogota,2019-12-08
Aguadas,CO,COAGU,AGU,Aguadas,0536N 07527W,5.61161,-75.45624000000001,America/Bogota,2018-07-04
Aguadilla,PR,PRBQN,BQN,Aguadilla,,18.42745,-67.15406999999999,America/Puerto_Rico,2017-06-29
Aguascalientes,MX,MXAGU,AGU,Aguascalientes,2153N 10218W,21.88234,-102.28259,America/Mexico_City,2018-11-03
Agudos,BR,BRAGD,AGD,Agudos,2228S 04900W,-22.469170000000002,-48.9875,America/Sao_Paulo,2012-08-03
Aguilares,AR,ARAGS,AGS,Aguilares,2726S 06537W,-27.4338,-65.61426999999999,America/Argentina/Tucuman,2016-01-30
Aguilares,SV,SVEZA,EZA,Aguilares,1357N 08911W,13.957220000000001,-89.18972,America/El_Salvador,2012-02-02
Agía Varvára,GR,GRV6V,V6V,Agia Varvara,4029N 02214E,37.98938,23.66011,Europe/Athens,2019-10-23
Agüimes,ES,ESAGS,AGS,Aguimes,2754N 01527W,27.90539,-15.44609,Atlantic/Canary,2013-07-29
Ahar,IR,IRAHR,AHR,Ahar,3828N 04703E,38.4774,47.0699,Asia/Tehran,2014-09-04
Ahaus,DE,DEAHA,AHA,Ahaus,,52.07936,7.013439999999999,Europe/Berlin,2015-09-04
Ahlen,DE,DEAHL,AHL,Ahlen,5145N 00755E,51.76338,7.8887,Europe/Berlin,2015-09-04
Ahmedabad,IN,INAMD,AMD,Ahmedabad,2302N 07237E,23.02579,72.58726999999999,Asia/Kolkata,2019-09-05
Ahrensburg,DE,DEAHR,AHR,Ahrensburg,,53.67515,10.22593,Europe/Berlin,2015-09-04
Ahuachapán,SV,SVACN,ACN,Ahuachapan,1355N 08951W,13.921389999999999,-89.845,America/El_Salvador,2018-03-17
Aichach,DE,DEAIC,AIC,Aichach,,48.45755,11.13413,Europe/Berlin,2019-09-05
Ain Sukhna,EG,EGAIS,AIS,Ain Sukhna,,29.600179999999998,32.31671,Africa/Cairo,2016-09-20
Aioi,JP,JPAIO,AIO,Aioi,3447N 13428E,34.80361,134.46806,Asia/Tokyo,2017-08-07
Airdrie,CA,CAAIR,AIR,Airdrie,5117N 11401W,51.30011,-114.03528,America/Edmonton,2008-04-11
Airdrie,GB,GBAIR,AIR,Airdrie,5551N 00359W,55.86601999999999,-3.98025,Europe/London,2017-06-12
Aiud,RO,ROAID,AID,Aiud,4618N 02343E,46.31006,23.72128,Europe/Bucharest,2012-06-12
Aix-en-Provence,FR,FRQXB,QXB,Aix-en-Provence,4332N 00526E,43.5283,5.449730000000001,Europe/Paris,2019-02-27
Aix-les-Bains,FR,FRAXB,AXB,Aix-les-Bains,4541N 00555E,45.69173,5.9086300000000005,Europe/Paris,2020-03-15
Aizawl,IN,INAJL,AJL,Aizawl,,23.728939999999998,92.71791,Asia/Kolkata,2014-10-14
Ajaccio,FR,FRAJA,AJA,Ajaccio,4156N 00844E,41.918859999999995,8.73812,Europe/Paris,2019-09-05
Ajaokuta,NG,NGQJK,QJK,Ajaokuta,0734N 00640E,7.562289999999999,6.65497,Africa/Lagos,2016-01-30
Ajax,CA,CAAJX,AJX,Ajax,,43.850120000000004,-79.03288,America/Toronto,2011-12-30
Ajdabiya,LY,LYQGG,QGG,Ajdabiya,3045N 02013E,30.75545,20.22625,Africa/Tripoli,2019-09-05
Ajka,HU,HUAJK,AJK,Ajka,4706N 01734E,47.10196,17.55892,Europe/Budapest,2015-06-17
Ajmer,IN,INAJI,AJI,Ajmer,2627N 07438E,26.4521,74.63866999999999,Asia/Kolkata,2017-08-23
Akashi,JP,JPAKA,AKA,Akashi,,34.65524,135.00687,Asia/Tokyo,2017-07-28
Akhtubinsk,RU,RUABS,ABS,Akhtubinsk,,48.27955,46.17217,Europe/Astrakhan,2016-12-03
Akita,JP,JPAXT,AXT,Akita,,39.71667,140.11667,Asia/Tokyo,2018-07-23
Akola,IN,INAKD,AKD,Akola,,20.709570000000003,76.9981,Asia/Kolkata,2017-03-18
Akouda,TN,TNAKO,AKO,Akouda,3552N 01034E,35.8691,10.5653,Africa/Tunis,2018-08-05
Akron,US,USAK5,AK5,Akron,4249N 09633W,41.08144,-81.51901,America/New_York,2017-05-23
Akron,US,USAKA,AKA,Akron,4334N 08331W,41.08144,-81.51901,America/New_York,2017-05-23
Akron,US,USAKC,AKC,Akron,4102N 08602W,41.08144,-81.51901,America/New_York,2017-05-23
Akron,US,USAKO,AKO,Akron,,41.08144,-81.51901,America/New_York,2017-05-23
Akron,US,USAKR,AKR,Akron,,41.08144,-81.51901,America/New_York,2017-05-23
Akron,US,USARN,ARN,Akron,,41.08144,-81.51901,America/New_York,2017-05-23
Aksaray,TR,TRAKS,AKS,Aksaray,,38.37255,34.02537,Europe/Istanbul,2019-09-05
Aksaray,TR,TRARY,ARY,Aksaray,,38.37255,34.02537,Europe/Istanbul,2019-09-05
Aksay,RU,RUAKS,AKS,Aksay,4715N 03953E,47.258379999999995,39.86675,Europe/Moscow,2013-05-07
Aksu,CN,CNAKU,AKU,Aksu,3840N 07540E,41.18418,80.27920999999999,Asia/Urumqi,2017-07-21
Aktobe,KZ,KZABE,ABE,Aktobe,,50.27969,57.20718000000001,Asia/Aqtobe,2019-09-19
Akune,JP,JPAKN,AKN,Akune,,32.01667,130.2,Asia/Tokyo,2017-07-22
Akure,NG,NGAKR,AKR,Akure,,7.252560000000001,5.1931199999999995,Africa/Lagos,2016-01-30
Akureyri,IS,ISAKU,AKU,Akureyri,,65.68353,-18.0878,Atlantic/Reykjavik,2019-09-05
Akçakoca,TR,TRKKC,KKC,Akcakoca,4105N 03106E,41.08663,31.116229999999998,Europe/Istanbul,2020-06-10
Al Aaroui,MA,MAAAR,AAR,Al Aaroui,3500N 00301W,35.0109,-3.0093799999999997,Africa/Casablanca,2017-12-06
Al Bahah,SA,SABAH,BAH,Al Bahah,2001N 04128E,20.01288,41.46767,Asia/Riyadh,2019-02-10
Al Hoceïma,MA,MAAHU,AHU,Al Hoceima,3515N 00356W,35.25165,-3.9372300000000005,Africa/Casablanca,2016-11-03
Al Kharj,SA,SAAKH,AKH,Al Kharj,2408N 04718E,24.15541,47.33457,Asia/Riyadh,2017-09-13
Al Khums,LY,LYKHO,KHO,Al Khums,3239N 01416E,32.64861,14.26191,Africa/Tripoli,2019-09-05
Al Marj,LY,LYQEC,QEC,Al Marj,3230N 02049E,32.49257,20.82909,Africa/Tripoli,2018-04-05
Al Marsá,TN,TNTZE,TZE,Al Marsa,3653N 01020E,36.87818,10.32466,Africa/Tunis,2018-08-30
Al Wakrah,QA,QAWAK,WAK,Al Wakrah,2510N 05136E,25.17151,51.60337,Asia/Qatar,2012-01-18
Alabel,PH,PHAEL,AEL,Alabel,6522N 12516E,6.10179,125.29048,Asia/Manila,2018-01-14
Alagoinhas,BR,BRAGS,AGS,Alagoinhas,1208S 03825W,-12.13556,-38.41917,America/Bahia,2012-08-03
Alajuela,CR,CRAJU,AJU,Alajuela,1001N 08413W,10.01625,-84.21163,America/Costa_Rica,2016-09-07
Alaminos,PH,PHALM,ALM,Alaminos,1609N 11958E,14.06391,121.24649,Asia/Manila,2017-12-13
Alamo,US,USAM8,AM8,Alamo,3721N 11509W,26.18369,-98.12306,America/Chicago,2017-03-09
Alamo,US,USAMT,AMT,Alamo,,26.18369,-98.12306,America/Chicago,2017-03-09
Alamo,US,USUBB,UBB,Alamo,,26.18369,-98.12306,America/Chicago,2017-03-09
Alba,IT,ITLBA,LBA,Alba,4442N 00801E,44.6999,8.0347,Europe/Rome,2014-01-11
Alba Iulia,RO,ROALI,ALI,Alba Iulia,4604N 02334E,46.06667,23.58333,Europe/Bucharest,2020-06-10
Albacete,ES,ESALB,ALB,Albacete,3859N 00152W,38.994240000000005,-1.85643,Europe/Madrid,2020-05-15
Albal,ES,ESAJB,AJB,Albal,,39.4,-0.41667,Europe/Madrid,2012-03-04
Albano Laziale,IT,ITABL,ABL,Albano Laziale,4144N 01239E,41.72748,12.659,Europe/Rome,2015-07-21
Albany,AU,AUALH,ALH,Albany,,-35.026920000000004,117.88368999999999,Australia/Perth,2019-07-21
Albany,US,US5BN,5BN,Albany,4014N 09419W,31.578509999999998,-84.15574000000001,America/New_York,2017-03-09
Albany,US,USA7Y,A7Y,Albany,3030N 09035W,31.578509999999998,-84.15574000000001,America/New_York,2017-03-09
Albany,US,USAB2,AB2,Albany,4111N 10608W,31.578509999999998,-84.15574000000001,America/New_York,2017-03-09
