name,subdivision,country_code,unlocode,location,asciiname,coordinates,latitude,longitude,timezone,modification date
Millersburg,KY,US,USILB,ILB,Millersburg,3818N 08408W,38.30202,-84.14743,America/New_York,2017-03-09
Millersburg,OH,US,USMLV,MLV,Millersburg,,40.55451,-81.91792,America/New_York,2017-05-23
Millersburg,PA,US,USMUG,MUG,Millersburg,4032N 07657W,40.53953,-76.96081,America/New_York,2017-05-23
Millersport,OH,US,USILR,ILR,Millersport,3954N 08232W,39.900059999999996,-82.53405,America/New_York,2017-05-23
Millerstown,PA,US,USQJT,QJT,Millerstown,4033N 07709W,40.65007,-79.79894,America/New_York,2017-05-23
Millersview,TX,US,US9MV,9MV,Millersview,3124N 09945W,31.40877,-99.75563000000001,America/Chicago,2006-01-15
Millersville,MD,US,USMVB,MVB,Millersville,,39.05955,-76.64801999999999,America/New_York,2010-02-15
Millersville,OH,US,USIIF,IIF,Millersville,4118N 08316W,41.312,-83.28130999999999,America/New_York,2017-05-23
Millersville,PA,US,USISE,ISE,Millersville,4000N 07621W,39.99788,-76.35413,America/New_York,2017-05-23
Millerton,NY,US,USMT4,MT4,Millerton,4157N 07331W,41.9537,-73.51068000000001,America/New_York,2017-05-23
Millheim,PA,US,USOZB,OZB,Millheim,4053N 07728W,40.8909,-77.47666,America/New_York,2017-05-23
Millican,TX,US,UST9X,T9X,Millican,3028N 09612W,30.46854,-96.20246,America/Chicago,2017-03-09
Milliken,CO,US,US5MK,5MK,Milliken,4019N 10451W,40.32943,-104.85525,America/Denver,2017-03-09
Millington,MD,US,USMTL,MTL,Millington,,39.25817,-75.83716,America/New_York,2017-03-09
Millington,MI,US,USM9I,M9I,Millington,4316N 08331W,43.28141,-83.52968,America/Detroit,2017-05-23
Millington,NJ,US,USMGY,MGY,Millington,,40.67732,-74.51765999999999,America/New_York,2017-05-23
Millington,TN,US,USMZD,MZD,Millington,,35.34147,-89.89731,America/Chicago,2017-03-09
Millinocket,ME,US,USMLT,MLT,Millinocket,,45.657270000000004,-68.70976,America/New_York,2017-05-23
Millis,MA,US,USMS2,MS2,Millis,4210N 07121W,42.1676,-71.35784,America/New_York,2017-05-23
Millmont,PA,US,USIMY,IMY,Millmont,4053N 07708W,40.885909999999996,-77.14081,America/New_York,2017-05-23
Millport,AL,US,USIPR,IPR,Millport,3333N 08804W,33.56345,-88.08142,America/Chicago,2017-03-09
Millry,AL,US,USM3Y,M3Y,Millry,3138N 08818W,31.63405,-88.31335,America/Chicago,2017-03-09
Mills,WY,US,USJML,JML,Mills,4250N 10622W,42.84052,-106.36586000000001,America/Denver,2017-03-09
